round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,9.107000,0.325000,0.193750,0.096875,0.109310,0.055220,0.016609,0.166589,0.169140,0.166068,0.166068,0.166068,0.166068
2,6.116356,0.296875,0.140625,0.059375,0.113455,0.057454,0.027416,0.165876,0.170710,0.165492,0.165633,0.165555,0.166733
3,6.408737,0.259375,0.121875,0.071875,0.115717,0.059838,0.034797,0.164716,0.172286,0.164797,0.165043,0.165069,0.168089
4,7.226822,0.275000,0.146875,0.078125,0.118403,0.061927,0.042738,0.162811,0.173796,0.164093,0.164420,0.164799,0.170081
5,6.898497,0.259375,0.146875,0.068750,0.120660,0.063090,0.049958,0.160350,0.175030,0.163472,0.163869,0.164830,0.172450
6,8.438380,0.268750,0.156250,0.096875,0.122716,0.065217,0.057858,0.156897,0.176356,0.162625,0.163424,0.164947,0.175750
7,7.748870,0.284375,0.143750,0.087500,0.124295,0.067084,0.064793,0.154032,0.177221,0.161874,0.162910,0.165545,0.178418
8,6.571743,0.300000,0.115625,0.078125,0.124092,0.068332,0.066886,0.150938,0.177777,0.161378,0.162454,0.166314,0.181139
9,9.115420,0.284375,0.159375,0.109375,0.125812,0.070418,0.071166,0.146465,0.178505,0.160680,0.161665,0.167779,0.184907
10,5.917249,0.265625,0.137500,0.053125,0.126314,0.069920,0.076410,0.143137,0.178780,0.160344,0.161101,0.168916,0.187722
11,7.689885,0.278125,0.159375,0.081250,0.127531,0.070579,0.079215,0.139129,0.179119,0.159592,0.160352,0.170734,0.191074
12,7.653807,0.300000,0.168750,0.078125,0.128981,0.070794,0.082679,0.134547,0.179292,0.158994,0.159804,0.172540,0.194823
13,10.817694,0.315625,0.184375,0.128125,0.130324,0.072986,0.086648,0.128203,0.179264,0.158091,0.158873,0.175554,0.200015
14,11.014267,0.353125,0.200000,0.128125,0.131944,0.074663,0.090484,0.121368,0.179059,0.157235,0.157969,0.179026,0.205344
15,9.560303,0.259375,0.156250,0.118750,0.132266,0.075803,0.090408,0.114186,0.178339,0.157123,0.157213,0.182123,0.211016
