round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score,cum_views,cum_likes
1,0,0,0.139619,0.870551,0.666667,0.500000,0.546992,0.241945,0.083227,0.444660,2.0,1.0
1,1,0,0.247320,0.870551,1.000000,1.000000,0.704351,0.288222,0.087434,0.601238,2.0,2.0
1,2,0,0.039080,0.870551,0.500000,0.000000,0.393941,0.111499,0.089504,0.303741,1.0,0.0
1,3,0,0.724847,0.870551,0.000000,0.000000,0.000000,0.000000,0.078817,0.150250,0.0,0.0
1,4,0,0.368557,0.870551,0.333333,1.000000,0.776042,0.201519,0.083973,0.498079,1.0,1.0
1,5,0,0.268096,0.870551,1.000000,1.000000,0.423966,0.201519,0.080691,0.544509,1.0,1.0
1,6,0,0.150631,0.870551,0.333333,0.000000,0.557785,0.176722,0.093382,0.314048,2.0,0.0
1,7,0,0.568517,0.870551,0.000000,0.000000,0.000000,0.000000,0.084806,0.151748,0.0,0.0
1,8,0,0.168080,0.870551,0.000000,0.000000,0.000000,0.000000,0.078978,0.150290,0.0,0.0
1,9,0,0.311360,0.870551,0.750000,0.666667,0.779401,0.313018,0.082317,0.527433,3.0,2.0
1,10,1,0.490499,0.870551,0.000000,0.000000,0.000000,0.000000,0.070773,0.148237,0.0,0.0
1,11,1,0.199080,0.870551,0.000000,0.000000,0.000000,0.000000,0.079305,0.150372,0.0,0.0
1,12,1,0.612538,0.870551,0.000000,0.000000,0.000000,0.000000,0.067478,0.147413,0.0,0.0
1,13,1,0.080769,0.870551,0.727273,0.500000,0.525989,0.435616,0.082567,0.479480,8.0,4.0
1,14,1,0.448982,0.870551,0.333333,1.000000,0.827875,0.201519,0.074119,0.503386,1.0,1.0
1,15,1,0.251850,0.870551,1.000000,1.000000,0.617696,0.201519,0.071659,0.571298,1.0,1.0
1,16,1,0.071009,0.870551,0.666667,0.500000,0.415567,0.241945,0.077447,0.423508,2.0,1.0
1,17,1,0.225512,0.870551,0.000000,0.000000,0.000000,0.000000,0.076298,0.149619,0.0,0.0
1,18,1,0.023145,0.870551,0.000000,0.000000,0.000000,0.000000,0.079356,0.150384,0.0,0.0
1,19,1,0.378901,0.870551,0.375000,0.333333,0.645885,0.274225,0.076849,0.393974,3.0,1.0
1,20,2,0.154859,0.870551,0.750000,0.666667,0.657816,0.313018,0.112386,0.516724,3.0,2.0
1,21,2,0.496025,0.870551,1.000000,1.000000,0.743339,0.385725,0.105039,0.626108,4.0,4.0
1,22,2,0.753268,0.870551,0.000000,0.000000,0.000000,0.000000,0.056707,0.144718,0.0,0.0
1,23,2,0.075313,0.870551,0.666667,0.250000,0.363686,0.301097,0.056907,0.381974,4.0,1.0
1,24,2,0.346724,0.870551,0.333333,1.000000,0.897889,0.201519,0.109883,0.522831,1.0,1.0
1,25,2,0.118530,0.870551,0.000000,0.000000,0.000000,0.000000,0.109838,0.158010,0.0,0.0
1,26,2,0.401554,0.870551,0.571429,1.000000,0.777564,0.489741,0.115062,0.585031,8.0,8.0
1,27,2,0.428317,0.870551,0.555556,1.000000,0.805820,0.418668,0.117778,0.576908,5.0,5.0
1,28,2,0.226272,0.870551,1.000000,1.000000,0.710197,0.288222,0.077330,0.599587,2.0,2.0
1,29,2,0.109343,0.870551,0.500000,1.000000,0.545245,0.201519,0.024078,0.473500,1.0,1.0
1,30,3,0.108891,0.870551,0.000000,0.000000,0.000000,0.000000,0.032863,0.138753,0.0,0.0
1,31,3,0.559639,0.870551,0.400000,1.000000,0.913409,0.288222,0.047589,0.532579,2.0,2.0
1,32,3,0.161426,0.870551,0.000000,0.000000,0.000000,0.000000,0.037489,0.139911,0.0,0.0
1,33,3,0.041007,0.870551,0.333333,1.000000,0.396241,0.201519,0.059082,0.434904,1.0,1.0
1,34,3,0.306667,0.870551,0.500000,0.750000,0.675619,0.464944,0.068562,0.506190,8.0,6.0
