round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,7.463628,0.253125,0.146875,0.081250,0.107338,0.054571,0.024971,0.166845,0.166849,0.166577,0.166577,0.166577,0.166577
2,9.066361,0.315625,0.181250,0.096875,0.114366,0.059032,0.041908,0.166563,0.166749,0.166715,0.166527,0.166678,0.166768
3,7.645674,0.287500,0.143750,0.087500,0.117513,0.062115,0.050090,0.166258,0.166645,0.166801,0.166641,0.166736,0.166918
4,7.940373,0.290625,0.153125,0.087500,0.120503,0.064561,0.059030,0.165895,0.166532,0.166874,0.166723,0.166917,0.167059
5,7.253302,0.300000,0.143750,0.078125,0.122186,0.066092,0.066065,0.165562,0.166404,0.166946,0.166821,0.167081,0.167187
6,9.466158,0.303125,0.162500,0.109375,0.124416,0.068715,0.071650,0.165213,0.166203,0.167014,0.166895,0.167335,0.167339
7,7.922800,0.303125,0.162500,0.081250,0.126019,0.069676,0.077361,0.164856,0.166071,0.167070,0.166984,0.167544,0.167475
8,6.996688,0.290625,0.131250,0.078125,0.126740,0.070767,0.081881,0.164565,0.165965,0.167100,0.167016,0.167771,0.167584
9,10.429109,0.271875,0.171875,0.125000,0.128441,0.073041,0.085564,0.163984,0.165756,0.167230,0.167148,0.168086,0.167796
10,7.164757,0.253125,0.153125,0.071875,0.130028,0.073342,0.089690,0.163709,0.165640,0.167256,0.167183,0.168305,0.167907
11,10.723488,0.296875,0.184375,0.125000,0.131748,0.075176,0.092597,0.163241,0.165421,0.167345,0.167287,0.168614,0.168092
12,9.644483,0.296875,0.175000,0.109375,0.133084,0.076507,0.096394,0.162787,0.165238,0.167415,0.167384,0.168912,0.168264
13,9.267522,0.281250,0.159375,0.106250,0.133562,0.077383,0.101158,0.162337,0.165037,0.167509,0.167494,0.169187,0.168436
14,9.013527,0.284375,0.168750,0.100000,0.134030,0.077562,0.101151,0.161847,0.164816,0.167642,0.167630,0.169443,0.168622
15,10.755341,0.290625,0.181250,0.131250,0.134856,0.078881,0.100560,0.161298,0.164567,0.167772,0.167770,0.169760,0.168834
16,8.917628,0.296875,0.165625,0.100000,0.135416,0.079031,0.102891,0.160750,0.164382,0.167899,0.167900,0.170044,0.169026
17,8.564305,0.265625,0.146875,0.100000,0.134987,0.079213,0.103170,0.160234,0.164172,0.168030,0.168045,0.170306,0.169213
18,9.662592,0.271875,0.168750,0.112500,0.135486,0.079823,0.102832,0.159786,0.163925,0.168127,0.168159,0.170610,0.169393
19,10.136146,0.331250,0.184375,0.112500,0.136129,0.080056,0.104672,0.159288,0.163680,0.168249,0.168288,0.170905,0.169590
20,9.592296,0.284375,0.190625,0.100000,0.137244,0.079735,0.107365,0.158816,0.163429,0.168360,0.168418,0.171199,0.169779
