round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,7.028841,0.287500,0.162500,0.071875,0.107584,0.053797,0.013552,0.166529,0.168483,0.166247,0.166247,0.166247,0.166247
2,8.419227,0.281250,0.171875,0.093750,0.113440,0.057907,0.025329,0.165440,0.170509,0.165482,0.165712,0.165623,0.167234
3,9.003152,0.312500,0.193750,0.093750,0.118845,0.061088,0.034636,0.163959,0.172422,0.164443,0.165254,0.164957,0.168964
4,6.469127,0.293750,0.153125,0.065625,0.120961,0.062455,0.041443,0.162232,0.173812,0.163647,0.165015,0.164529,0.170765
5,7.385915,0.296875,0.150000,0.081250,0.122802,0.064497,0.046703,0.160225,0.175352,0.162639,0.164669,0.164417,0.172698
6,8.334877,0.293750,0.153125,0.100000,0.124299,0.066940,0.052185,0.157491,0.176818,0.161476,0.164342,0.164432,0.175442
7,8.347675,0.265625,0.159375,0.096875,0.126033,0.068795,0.058264,0.154236,0.178151,0.160364,0.164113,0.164618,0.178518
8,9.578250,0.309375,0.181250,0.109375,0.127625,0.070412,0.062731,0.149924,0.179380,0.159195,0.163844,0.165055,0.182601
9,7.520994,0.287500,0.156250,0.078125,0.128389,0.070578,0.067881,0.145975,0.180209,0.158219,0.163902,0.165356,0.186339
10,6.021357,0.262500,0.131250,0.062500,0.128703,0.070659,0.071415,0.142915,0.180719,0.157561,0.163749,0.166004,0.189052
11,6.658277,0.281250,0.140625,0.071875,0.128741,0.070827,0.074306,0.139000,0.181229,0.156740,0.163678,0.166939,0.192414
12,7.304070,0.284375,0.150000,0.078125,0.129042,0.071396,0.076513,0.135048,0.181822,0.155745,0.163331,0.168317,0.195737
13,10.048561,0.293750,0.184375,0.118750,0.130531,0.073286,0.081189,0.129576,0.182464,0.154311,0.162880,0.170492,0.200278
14,8.119916,0.287500,0.165625,0.087500,0.131271,0.073778,0.084342,0.124724,0.182689,0.153280,0.162726,0.172290,0.204291
15,7.166552,0.240625,0.146875,0.078125,0.131661,0.073748,0.085977,0.120023,0.182914,0.152197,0.162716,0.174025,0.208125
